Game,Score,Record
1,0,0
2,1,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,1,1
9,0,1
10,0,1
11,0,1
12,0,1
13,0,1
14,1,1
15,0,1
16,0,1
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,1,1
27,1,1
28,0,1
29,0,1
30,0,1
31,1,1
32,0,1
33,0,1
34,1,1
35,0,1
36,0,1
37,2,2
38,1,2
39,0,2
40,0,2
41,0,2
42,1,2
43,0,2
44,1,2
45,1,2
46,1,2
47,0,2
48,0,2
49,1,2
50,0,2
51,0,2
52,0,2
53,0,2
54,0,2
55,1,2
56,2,2
57,0,2
58,1,2
59,1,2
60,0,2
61,0,2
62,1,2
63,0,2
64,1,2
65,0,2
66,1,2
67,0,2
68,1,2
69,2,2
70,3,3
71,1,3
72,0,3
73,0,3
74,3,3
75,1,3
76,0,3
77,0,3
78,1,3
79,3,3
80,0,3
81,0,3
82,0,3
83,1,3
84,0,3
85,0,3
86,3,3
87,0,3
88,1,3
89,0,3
90,5,5
91,4,5
92,2,5
93,1,5
94,0,5
95,5,5
96,0,5
97,6,6
98,1,6
99,0,6
100,2,6
101,0,6
102,0,6
103,0,6
104,0,6
105,14,14
106,0,14
107,0,14
108,11,14
109,1,14
110,4,14
111,10,14
112,12,14
113,11,14
114,5,14
115,0,14
116,0,14
117,4,14
118,7,14
119,11,14
120,6,14
121,2,14
122,5,14
123,6,14
124,0,14
125,2,14
126,2,14
127,1,14
128,0,14
129,0,14
130,1,14
131,0,14
132,1,14
133,0,14
134,8,14
135,1,14
136,0,14
137,1,14
138,6,14
139,4,14
140,1,14
141,0,14
142,4,14
143,1,14
144,1,14
145,0,14
146,1,14
147,0,14
148,2,14
149,1,14
150,1,14
151,14,14
152,4,14
153,16,16
154,9,16
155,13,16
156,18,18
157,8,18
158,12,18
159,16,18
160,32,32
161,24,32
162,4,32
163,8,32
164,3,32
165,29,32
166,13,32
167,30,32
168,2,32
169,17,32
170,16,32
171,18,32
172,9,32
173,23,32
174,23,32
175,10,32
176,11,32
177,23,32
178,18,32
179,51,51
180,41,51
181,35,51
182,25,51
183,27,51
184,18,51
185,46,51
186,35,51
187,16,51
188,30,51
189,19,51
190,34,51
191,20,51
192,25,51
193,21,51
194,49,51
195,12,51
196,20,51
197,14,51
198,15,51
199,29,51
200,35,51
201,11,51
202,25,51
203,30,51
204,28,51
205,17,51
206,33,51
207,27,51
208,28,51
209,15,51
210,38,51
211,32,51
212,25,51
213,26,51
214,26,51
215,23,51
216,40,51
217,25,51
218,38,51
219,14,51
220,20,51
221,25,51
222,19,51
223,39,51
224,55,55
225,31,55
226,24,55
227,18,55
228,8,55
229,28,55
230,22,55
231,16,55
232,53,55
233,41,55
234,26,55
235,35,55
236,47,55
237,49,55
238,18,55
239,21,55
240,28,55
241,26,55
242,15,55
243,23,55
244,43,55
245,43,55
246,24,55
247,28,55
248,37,55
249,35,55
250,49,55
251,24,55
252,45,55
253,37,55
254,41,55
255,18,55
256,20,55
257,28,55
258,18,55
259,21,55
260,29,55
261,18,55
262,36,55
263,29,55
264,28,55
265,48,55
266,17,55
267,25,55
268,34,55
269,16,55
270,23,55
271,24,55
272,33,55
273,50,55
274,32,55
275,38,55
276,33,55
277,34,55
278,36,55
279,21,55
280,38,55
281,26,55
282,29,55
283,20,55
284,19,55
285,16,55
286,26,55
287,30,55
288,44,55
289,35,55
290,31,55
291,36,55
292,12,55
293,17,55
294,43,55
295,31,55
296,60,60
297,30,60
298,16,60
299,35,60
300,27,60
301,12,60
302,29,60
303,23,60
304,29,60
305,36,60
306,46,60
307,12,60
308,24,60
309,35,60
310,53,60
311,27,60
312,60,60
313,40,60
314,11,60
315,47,60
316,27,60
317,26,60
318,26,60
319,22,60
320,44,60
321,24,60
322,11,60
323,35,60
324,20,60
325,28,60
326,21,60
327,21,60
328,31,60
329,28,60
330,39,60
331,34,60
332,29,60
333,25,60
334,20,60
335,39,60
336,14,60
337,18,60
338,10,60
339,38,60
340,31,60
341,43,60
342,8,60
343,33,60
344,17,60
345,17,60
346,50,60
347,16,60
348,30,60
349,9,60
350,7,60
351,47,60
352,29,60
353,48,60
354,35,60
355,15,60
356,35,60
357,25,60
358,15,60
359,22,60
360,19,60
361,25,60
362,24,60
363,34,60
364,37,60
365,16,60
366,31,60
367,37,60
368,33,60
369,29,60
370,26,60
371,42,60
372,38,60
373,18,60
374,27,60
375,20,60
376,19,60
377,43,60
378,27,60
379,32,60
380,58,60
381,18,60
382,42,60
383,28,60
384,29,60
385,9,60
386,24,60
387,32,60
388,7,60
389,31,60
390,12,60
391,23,60
392,38,60
393,22,60
394,21,60
395,35,60
396,13,60
397,15,60
398,34,60
399,34,60
400,25,60
401,48,60
402,35,60
403,39,60
404,30,60
405,38,60
406,44,60
407,30,60
408,33,60
409,23,60
410,23,60
411,34,60
412,18,60
413,37,60
414,17,60
415,31,60
416,14,60
417,52,60
418,19,60
419,38,60
420,31,60
421,40,60
422,20,60
423,22,60
424,38,60
425,18,60
426,29,60
427,31,60
428,33,60
429,46,60
430,22,60
431,25,60
432,26,60
433,28,60
434,13,60
435,26,60
436,18,60
437,9,60
438,43,60
439,13,60
440,26,60
441,34,60
442,28,60
443,30,60
444,27,60
445,28,60
446,27,60
447,23,60
448,21,60
449,28,60
450,23,60
451,32,60
452,17,60
453,37,60
454,5,60
455,16,60
456,43,60
457,34,60
458,32,60
459,33,60
460,30,60
461,45,60
462,34,60
463,65,65
464,7,65
465,36,65
466,15,65
467,13,65
468,25,65
469,35,65
470,22,65
471,20,65
472,44,65
473,41,65
474,26,65
475,49,65
476,31,65
477,26,65
478,29,65
479,44,65
480,21,65
481,28,65
482,17,65
483,26,65
484,23,65
485,40,65
486,17,65
487,31,65
488,30,65
489,28,65
490,25,65
491,46,65
492,25,65
493,40,65
494,33,65
495,28,65
496,23,65
497,25,65
498,37,65
499,27,65
500,23,65
501,45,65
502,25,65
503,32,65
504,38,65
505,29,65
506,18,65
507,27,65
508,29,65
509,25,65
510,23,65
511,20,65
512,12,65
513,26,65
514,43,65
515,11,65
516,53,65